V1	V2
isogroup10067	GO:0004057;GO:0016598;GO:0042176
isogroup10068	GO:0004672;GO:0005524;GO:0006468
isogroup10069	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003834
isogroup1007	GO:0042800;GO:0040029;GO:0016570
isogroup10070	GO:0016251
isogroup10074	GO:0004835;GO:0006464
isogroup10075	GO:0007155
isogroup10078	GO:0005529;GO:0005737;GO:0006817
isogroup10079	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004707;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004683;GO:0004686;GO:0004688;GO:0004689;GO:0004690;GO:0004692;GO:0004693;GO:0004694;GO:0004695;GO:0004696;GO:0004697;GO:0004698;GO:0004700;GO:0004701;GO:0004702;GO:0004703;GO:0004704;GO:0004705;GO:0004706;GO:0004708;GO:0004709;GO:0004710;GO:0004711;GO:0004712;GO:0004714;GO:0004715;GO:0004716;GO:0004718;GO:0008338;GO:0008339;GO:0008349;GO:0008384;GO:0008443;GO:0008545;GO:0008607;GO:0008819;GO:0016307;GO:0016538;GO:0016773;GO:0016908;GO:0016909;GO:0018720;GO:0019199;GO:0019912;GO:0019914;GO:0035004;GO:0042556;GO:0042557
isogroup10081	GO:0004558;GO:0004339
isogroup10082	GO:0003677;GO:0005677;GO:0006342;GO:0006355;GO:0017136;GO:0040029;GO:0016570
isogroup10083	GO:0007242
isogroup10084	GO:0006470;GO:0008138;GO:0004721
isogroup10087	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0015207
isogroup10090	GO:0004067;GO:0006516;GO:0008798
isogroup10092	GO:0005525;GO:0006412;GO:0003746;GO:0005737;GO:0006414;GO:0003924;GO:0008547
isogroup10093	GO:0004721;GO:0006470;GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004722;GO:0004725;GO:0008138;GO:0016314;GO:0051800
isogroup10096	GO:0004558;GO:0004339
isogroup10098	GO:0003777;GO:0005875;GO:0007017
isogroup10099	GO:0008152;GO:0016491;GO:0008874;GO:0008875
isogroup101	GO:0003677;GO:0005524;GO:0003676;GO:0008026;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
isogroup1010	GO:0016020;GO:0006886;GO:0008565
isogroup10100	GO:0005509;GO:0007156;GO:0016020
isogroup10101	GO:0004871;GO:0005096
isogroup10102	GO:0006886;GO:0008320;GO:0016020
isogroup10104	GO:0004563
isogroup10105	GO:0008152;GO:0016491;GO:0004090;GO:0050221;GO:0047021
isogroup1011	GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0008076;GO:0015269;GO:0005261;GO:0006812;GO:0005216;GO:0006811
isogroup10111	GO:0004420;GO:0009058;GO:0003995;GO:0006118;GO:0016491;GO:0004128
isogroup10115	GO:0008537;GO:0008538;GO:0030163;GO:0043248
isogroup10116	GO:0003824;GO:0006725;GO:0016787;GO:0047372
isogroup10118	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
isogroup10119	GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0008076;GO:0007268
isogroup10120	GO:0008270
isogroup10122	GO:0008270;GO:0010992
isogroup10127	GO:0006486;GO:0008417;GO:0016020;GO:0000009;GO:0000026;GO:0000030;GO:0000033;GO:0003980;GO:0004376;GO:0004576;GO:0004583;GO:0008375;GO:0008376;GO:0008378;GO:0008921;GO:0016253;GO:0016758;GO:0016759;GO:0018715;GO:0018716;GO:0018717;GO:0018718;GO:0019112;GO:0019187;GO:0042281;GO:0042283;GO:0046527;GO:0046920;GO:0046921
isogroup10128	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0005215;GO:0005310
isogroup10134	GO:0005622;GO:0005634;GO:0006606;GO:0008565
isogroup10135	GO:0016020
isogroup10137	GO:0003824;GO:0008152;GO:0003859
isogroup10138	GO:0016051;GO:0016758
isogroup10139	GO:0005869;GO:0007017
isogroup10140	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup10141	GO:0008152;GO:0008483;GO:0008453;GO:0050281;GO:0004760
isogroup10142	GO:0004693;GO:0007049
isogroup10143	GO:0005515;GO:0007165
isogroup10145	GO:0005515
isogroup10146	GO:0004871;GO:0007165;GO:0003700;GO:0005634;GO:0006355
isogroup10147	GO:0016020
isogroup1015	GO:0005509
isogroup10151	GO:0005044;GO:0016020
isogroup10153	GO:0050578
isogroup10155	GO:0003676;GO:0005634;GO:0008270
isogroup10156	GO:0003676;GO:0010992
isogroup10158	GO:0005245;GO:0006816
isogroup1016	GO:0016251
isogroup10161	GO:0008152;GO:0008484;GO:0003943;GO:0004065
isogroup10163	GO:0050578
isogroup10173	GO:0008152;GO:0016491;GO:0050038
isogroup10174	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup10175	GO:0016251
isogroup10176	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626;GO:0006412
isogroup10178	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004715
isogroup1018	GO:0016905
isogroup10180	GO:0004016;GO:0008294
isogroup10181	GO:0008152;GO:0016758;GO:0003851;GO:0003981
isogroup10183	GO:0005524;GO:0005783;GO:0051085
isogroup10185	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup10187	GO:0045302
isogroup1019	GO:0004182;GO:0006508
isogroup10190	GO:0016021
isogroup10191	GO:0005215;GO:0006810;GO:0016021;GO:0016020;GO:0015101;GO:0015226
isogroup10197	GO:0004497;GO:0005507;GO:0004500;GO:0006584
isogroup10199	GO:0008152;GO:0016491;GO:0005498;GO:0004303;GO:0034821;GO:0034822
isogroup1020	GO:0003677;GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
isogroup10200	GO:0005509
isogroup10201	GO:0006508;GO:0008533;GO:0008237;GO:0008270
isogroup10204	GO:0000166;GO:0017111
isogroup10205	GO:0016021;GO:0016192
isogroup10206	GO:0006508;GO:0008235;GO:0004239
isogroup10211	GO:0005515;GO:0005215;GO:0006810;GO:0016020
isogroup10213	GO:0006508;GO:0008237;GO:0004226;GO:0004046
isogroup10214	GO:0001614;GO:0004931;GO:0009719;GO:0035381;GO:0035587;GO:0022834
isogroup10216	GO:0006508;GO:0008237;GO:0008270
isogroup10217	GO:0005215;GO:0006810;GO:0016021
isogroup10218	GO:0005515
isogroup10219	GO:0003676;GO:0004526
isogroup10220	GO:0003913;GO:0006281;GO:0003904
isogroup10221	GO:0005087;GO:0017112;GO:0030676;GO:0043539
isogroup10222	GO:0003743;GO:0006412
isogroup10223	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0017163;GO:0010992
isogroup10224	GO:0006457;GO:0003755;GO:0004600;GO:0030051;GO:0042027;GO:0016018
isogroup10226	GO:0045552
isogroup10227	GO:0004888;GO:0007275;GO:0016020
isogroup10229	GO:0004190;GO:0006508
isogroup10233	GO:0003677;GO:0004518;GO:0003697;GO:0004519;GO:0005634;GO:0006289;GO:0006281;GO:0008852;GO:0048256
isogroup10234	GO:0005509
isogroup10236	GO:0005267;GO:0006813;GO:0016020;GO:0005242
isogroup10237	GO:0006508;GO:0008233;GO:0016021;GO:0008717
isogroup10238	GO:0004871;GO:0005834;GO:0007186;GO:0003847
isogroup10241	GO:0006118;GO:0004497;GO:0016705;GO:0018585;GO:0018586;GO:0018587;GO:0018588;GO:0018589;GO:0018590;GO:0018591;GO:0018592;GO:0018593;GO:0018594;GO:0018595;GO:0018596;GO:0018597;GO:0018598;GO:0018599;GO:0018600;GO:0018601
isogroup10249	GO:0004871;GO:0007186;GO:0005525;GO:0004821
isogroup1025	GO:0004835;GO:0006464
isogroup10250	GO:0004839;GO:0006464;GO:0006512;GO:0003824;GO:0004842
isogroup10252	GO:0005622;GO:0042254
isogroup10256	GO:0004672;GO:0005524;GO:0006468;GO:0007242;GO:0004674
isogroup10257	GO:0004559;GO:0005975
isogroup10258	GO:0008270;GO:0016491;GO:0003960;GO:0051341
isogroup10263	GO:0008440
isogroup10264	GO:0004872
isogroup10266	GO:0005488;GO:0006810;GO:0016020
isogroup10267	GO:0016021
isogroup10271	GO:0003743;GO:0006446;GO:0003723;GO:0006412
isogroup10272	GO:0008152;GO:0008484;GO:0003943
isogroup10274	GO:0005515
isogroup10276	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup1028	GO:0004721;GO:0006470;GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004722;GO:0004725;GO:0008138;GO:0016314;GO:0051800
isogroup10282	GO:0003868
isogroup10285	GO:0003824;GO:0008152;GO:0030378
isogroup10286	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup10288	GO:0005737;GO:0006817
isogroup10289	GO:0005386;GO:0005496;GO:0006810
isogroup1029	GO:0005576;GO:0016020;GO:0003824;GO:0005245
isogroup10292	GO:0004694;GO:0006412
isogroup10296	GO:0005215;GO:0006810;GO:0016021;GO:0016020;GO:0015101;GO:0015226
isogroup10298	GO:0005529
isogroup103	GO:0005099
isogroup10300	GO:0008270;GO:0006508;GO:0008237;GO:0010992
isogroup10301	GO:0006118;GO:0016491;GO:0004128
isogroup10303	GO:0009982
isogroup10305	GO:0003676;GO:0001584;GO:0007186;GO:0016021
isogroup10306	GO:0005525;GO:0007264;GO:0006886;GO:0015031
isogroup10307	GO:0006486;GO:0008417;GO:0016020
isogroup10308	GO:0004144
isogroup1031	GO:0005509;GO:0005515;GO:0016011
isogroup10310	GO:0006281;GO:0006310
isogroup10311	GO:0004725;GO:0006470;GO:0004721;GO:0004727;GO:0051301
isogroup10312	GO:0003676
isogroup10314	GO:0016787;GO:0004050
isogroup10316	GO:0003676
isogroup10317	GO:0016491;GO:0050580
isogroup1032	GO:0005509;GO:0007155;GO:0005576
isogroup10320	GO:0004144
isogroup10323	GO:0005509;GO:0016706;GO:0019538;GO:0004656;GO:0016222
isogroup10326	GO:0005515;GO:0042981;GO:0010992
isogroup10327	GO:0005515;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674
isogroup1033	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0005007
isogroup10330	GO:0003896;GO:0006269;GO:0003887;GO:0003889;GO:0003890;GO:0003891;GO:0003893;GO:0003894;GO:0003895;GO:0015999;GO:0016000;GO:0016448;GO:0016449;GO:0016450;GO:0016451;GO:0016452;GO:0019984
isogroup10332	GO:0016021
isogroup1034	GO:0005576;GO:0016020;GO:0003824;GO:0005245
isogroup10340	GO:0003677;GO:0004003;GO:0005524;GO:0005634;GO:0006289;GO:0016818;GO:0003676;GO:0006139;GO:0008026;GO:0000810;GO:0004787;GO:0008722;GO:0008758;GO:0008796;GO:0008828;GO:0016462;GO:0019176;GO:0019177
isogroup10342	GO:0004812;GO:0005524;GO:0006418
isogroup10344	GO:0005554;GO:0016020
isogroup10345	GO:0003676;GO:0006412
isogroup10346	GO:0003676;GO:0005622
isogroup1035	GO:0000059;GO:0005634;GO:0005643;GO:0005737;GO:0008565
isogroup10354	GO:0004558;GO:0004339
isogroup10356	GO:0006508;GO:0008237;GO:0004046
isogroup10359	GO:0005554
isogroup1036	GO:0008152;GO:0016624;GO:0004802
isogroup10360	GO:0003723;GO:0006412
isogroup10361	GO:0005515
isogroup10364	GO:0003723;GO:0005525;GO:0005786;GO:0006614
isogroup10366	GO:0003725;GO:0005622;GO:0002226;GO:0042381
isogroup1037	GO:0004179;GO:0006508;GO:0008237;GO:0008270;GO:0004230
isogroup10372	GO:0008152;GO:0016491;GO:0003845;GO:0008708;GO:0008726;GO:0016614;GO:0018446;GO:0018447;GO:0018448;GO:0018449;GO:0018450;GO:0042469;GO:0045703
isogroup10376	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0003899;GO:0007268
isogroup10377	GO:0005525;GO:0007264;GO:0006886;GO:0000160;GO:0003677;GO:0006355;GO:0015031;GO:0003924;GO:0003925
isogroup10378	GO:0005386;GO:0005496;GO:0006810
isogroup1038	GO:0005245
isogroup10382	GO:0004089;GO:0006730;GO:0008270;GO:0031214
isogroup10385	GO:0005509;GO:0016706;GO:0019538;GO:0004656;GO:0016222
isogroup10387	GO:0005515;GO:0005524;GO:0044267;GO:0003763
isogroup1039	GO:0004888;GO:0007275;GO:0016020
isogroup10391	GO:0003702;GO:0005673;GO:0006367
isogroup10393	GO:0004871
isogroup10394	GO:0004426
isogroup10402	GO:0008083
isogroup10404	GO:0003779
isogroup1041	GO:0000158;GO:0004721;GO:0004723;GO:0004724;GO:0005963;GO:0008420;GO:0008597;GO:0015071;GO:0017018;GO:0017020;GO:0017023;GO:0030357;GO:0008601
isogroup10411	GO:0001584;GO:0007186;GO:0016021;GO:0003847
isogroup10413	GO:0016021;GO:0016192
isogroup10414	GO:0005515;GO:0006281
isogroup10415	GO:0006777
isogroup10417	GO:0008083
isogroup1042	GO:0004527;GO:0005622
isogroup10421	GO:0003676;GO:0005634;GO:0008270
isogroup10423	GO:0005525;GO:0007264;GO:0006886;GO:0015031
isogroup10424	GO:0003713;GO:0005634
isogroup10427	GO:0003988
isogroup10428	GO:0008152;GO:0016491;GO:0004355;GO:0016040
isogroup10429	GO:0000156;GO:0000160;GO:0003677;GO:0006355;GO:0000166;GO:0017111
isogroup10431	GO:0047493;GO:0033188
isogroup10433	GO:0005509
isogroup10435	GO:0004672;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10436	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup10438	GO:0004672;GO:0005524;GO:0006468;GO:0004674;GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004683;GO:0004686;GO:0004688;GO:0004689;GO:0004690;GO:0004692;GO:0004693;GO:0004694;GO:0004695;GO:0004696;GO:0004697;GO:0004698;GO:0004700;GO:0004701;GO:0004702;GO:0004703;GO:0004704;GO:0004705;GO:0004706;GO:0004707;GO:0004708;GO:0004709;GO:0004710;GO:0004711;GO:0004712;GO:0004714;GO:0004715;GO:0004716;GO:0004718;GO:0008338;GO:0008339;GO:0008349;GO:0008384;GO:0008443;GO:0008545;GO:0008607;GO:0008819;GO:0016307;GO:0016538;GO:0016773;GO:0016908;GO:0016909;GO:0018720;GO:0019199;GO:0019912;GO:0019914;GO:0035004;GO:0042556;GO:0042557
isogroup10442	GO:0004672;GO:0005524;GO:0006468;GO:0005529;GO:0004674;GO:0005737;GO:0006817
isogroup10445	GO:0003676;GO:0006412
isogroup10447	GO:0003700;GO:0005634;GO:0006355
isogroup1045	GO:0005201;GO:0005581
isogroup10450	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0003676;GO:0005634;GO:0010992
isogroup10453	GO:0008152;GO:0016491;GO:0003845;GO:0008708;GO:0008726;GO:0016614;GO:0018446;GO:0018447;GO:0018448;GO:0018449;GO:0018450;GO:0042469;GO:0045703
isogroup10455	GO:0003676
isogroup10457	GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0007001
isogroup10460	GO:0004725;GO:0006470;GO:0004721;GO:0005001
isogroup10464	GO:0031419;GO:0002226;GO:0009682
isogroup10465	GO:0003676;GO:0005634;GO:0008270
isogroup10467	GO:0008903
isogroup10468	GO:0006508;GO:0030693;GO:0004197;GO:0016946;GO:0006915;GO:1900119
isogroup10469	GO:0009117;GO:0016787;GO:0004528;GO:0004551;GO:0009719;GO:0035381;GO:0035587
isogroup10470	GO:0007242
isogroup10471	GO:0005525;GO:0007264;GO:0006886;GO:0000160;GO:0003677;GO:0006355;GO:0015031;GO:0003924;GO:0003925
isogroup10473	GO:0003677;GO:0005634;GO:0006355
isogroup10478	GO:0008152;GO:0016491;GO:0003858
isogroup10479	GO:0047800
isogroup1048	GO:0008067;GO:0016020;GO:0004965;GO:0007600
isogroup10481	GO:0005525;GO:0007264;GO:0015031;GO:0003924;GO:0003925
isogroup10483	GO:0003824;GO:0009225;GO:0008460
isogroup10485	GO:0008152;GO:0008415;GO:0005515;GO:0004742;GO:0006096;GO:0045254;GO:0009351;GO:0030523;GO:0004149
isogroup10486	GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0004722
isogroup1049	GO:0004813;GO:0005524;GO:0006419
isogroup10490	GO:0008152;GO:0016491;GO:0004757;GO:0006729
isogroup10493	GO:0004221;GO:0005622;GO:0006511;GO:0007268;GO:0048167
isogroup10494	GO:0003743;GO:0006413;GO:0006412
isogroup10498	GO:0047220
isogroup10499	GO:0005576
isogroup105	GO:0003887;GO:0003889;GO:0003890;GO:0003891;GO:0003893;GO:0003894;GO:0003895;GO:0015999;GO:0016000;GO:0016448;GO:0016449;GO:0016450;GO:0016451;GO:0016452;GO:0019984
isogroup1050	GO:0004871;GO:0007165;GO:0000155;GO:0000160;GO:0006355;GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0005261;GO:0006812;GO:0005216;GO:0006811
isogroup10501	GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0051301
isogroup10502	GO:0008757;GO:0003677;GO:0006306;GO:0008170
isogroup10503	GO:0004800
isogroup10506	GO:0004182;GO:0006508;GO:0016706;GO:0019538;GO:0040029;GO:0016570
isogroup10507	GO:0003676
isogroup10508	GO:0005215;GO:0006810;GO:0016021;GO:0008517;GO:0015232
isogroup1051	GO:0016020
isogroup10511	GO:0005515
isogroup10512	GO:0004289;GO:0006508;GO:0004285
isogroup10514	GO:0004889;GO:0005216;GO:0006811;GO:0016021;GO:0045211;GO:0005230;GO:0006810;GO:0016020;GO:0015464
isogroup1052	GO:0004822
isogroup10527	GO:0004835;GO:0006464
isogroup10529	GO:0005044;GO:0016020
isogroup10531	GO:0004339;GO:0005976;GO:0003676;GO:0004523;GO:0004524
isogroup10534	GO:0003779;GO:0005622
isogroup10535	GO:0016534
isogroup1054	GO:0005388
isogroup10540	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
isogroup10544	GO:0003677;GO:0006284;GO:0004844;GO:0016799;GO:0017065;GO:0019104
isogroup10549	GO:0008757;GO:0008171;GO:0008168;GO:0017096
isogroup1055	GO:0003995
isogroup10552	GO:0003846
isogroup10554	GO:0004672;GO:0005524;GO:0006468;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0004707
isogroup10556	GO:0016021
isogroup10557	GO:0003863;GO:0017086;GO:0004739
isogroup10558	GO:0007242;GO:0005515
isogroup1056	GO:0008270;GO:0004339;GO:0010992
isogroup10564	GO:0005215;GO:0006810;GO:0016020;GO:0015250
isogroup10568	GO:0004556;GO:0005975;GO:0015174;GO:0015184
isogroup10569	GO:0007218
isogroup10571	GO:0016020
isogroup10575	GO:0004798;GO:0005524;GO:0006233;GO:0006235
isogroup10577	GO:0005525;GO:0006412;GO:0003746;GO:0006414;GO:0003924;GO:0008547
isogroup10578	GO:0003677;GO:0006306;GO:0008170
isogroup10579	GO:0003899;GO:0003900;GO:0003901;GO:0003902;GO:0031419;GO:0002226;GO:0042381
isogroup1058	GO:0004806;GO:0006629;GO:0003824
isogroup10580	GO:0004144
isogroup10582	GO:0005515;GO:0005737
isogroup10586	GO:0005506;GO:0008152;GO:0016491
isogroup10588	GO:0005737;GO:0006817
isogroup1059	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
isogroup10592	GO:0016020
isogroup10594	GO:0004197;GO:0006508;GO:0008234;GO:0004217
isogroup10598	GO:0003700;GO:0005634;GO:0006355
isogroup10599	GO:0003824;GO:0006508;GO:0008236;GO:0004185
isogroup1060	GO:0003676
isogroup10600	GO:0005201;GO:0005581;GO:0005737;GO:0006817
isogroup10602	GO:0001681
isogroup10603	GO:0000287;GO:0006633;GO:0008897
isogroup10605	GO:0000151;GO:0004842;GO:0008270;GO:0016567
isogroup10609	GO:0004826
isogroup10611	GO:0003824;GO:0006564;GO:0016616
isogroup10612	GO:0005525;GO:0007264;GO:0015031;GO:0003924;GO:0003925
isogroup10616	GO:0005215;GO:0006810;GO:0016021
isogroup10619	GO:0007242
isogroup10621	GO:0047372
isogroup10622	GO:0003677;GO:0005677;GO:0006342;GO:0006355;GO:0017136
isogroup10626	GO:0016874;GO:0004658
isogroup10628	GO:0004500;GO:0006584
isogroup10629	GO:0016021;GO:0009922
isogroup1063	GO:0004888;GO:0007275;GO:0016020;GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674
isogroup10632	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004618;GO:0006096;GO:0004674
isogroup10634	GO:0016706;GO:0019538;GO:0004656
isogroup10635	GO:0000030;GO:0005783;GO:0016021;GO:0004584;GO:0000033
isogroup10636	GO:0007154;GO:0016020
isogroup10637	GO:0008299;GO:0004161;GO:0004337
isogroup10641	GO:0009058
isogroup10644	GO:0004197;GO:0006508
isogroup10645	GO:0004089;GO:0006730;GO:0008270;GO:0031214
isogroup10649	GO:0009058
isogroup10651	GO:0008757;GO:0003824;GO:0004623;GO:0005509;GO:0016042;GO:0004766
isogroup10654	GO:0005509;GO:0016706;GO:0019538;GO:0004656;GO:0016222
isogroup10658	GO:0007165
isogroup10659	GO:0004558;GO:0004339
isogroup1066	GO:0003677;GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626;GO:0006281
isogroup10660	GO:0006464;GO:0004221
isogroup10661	GO:0007242
isogroup10662	GO:0016020;GO:0004238;GO:0017090;GO:0002226;GO:0042381
isogroup1067	GO:0008570
isogroup10670	GO:0004476;GO:0005975;GO:0008270
isogroup10678	GO:0003677;GO:0003700;GO:0005634;GO:0006355
isogroup1068	GO:0005515
isogroup10681	GO:0005489;GO:0006118;GO:0006950;GO:0006979
isogroup10683	GO:0005279;GO:0006865;GO:0016020;GO:0006810
isogroup10684	GO:0007155
isogroup10686	GO:0016020;GO:0030001;GO:0046873;GO:0005385
isogroup10687	GO:0015986;GO:0016021;GO:0016469;GO:0046933;GO:0046961;GO:0016020;GO:0003936
isogroup10689	GO:0004560;GO:0005975
isogroup1069	GO:0005261;GO:0006812;GO:0016020;GO:0005216;GO:0006811;GO:0030163;GO:0043248
isogroup10691	GO:0001733
isogroup10692	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004715
isogroup10696	GO:0000166;GO:0017111
isogroup10698	GO:0004597
isogroup10699	GO:0006120;GO:0008137;GO:0003954
isogroup107	GO:0016020;GO:0005529;GO:0005509;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
isogroup1070	GO:0003677;GO:0005665;GO:0006366;GO:0003899;GO:0005634;GO:0006350;GO:0003900;GO:0003901;GO:0003902
isogroup10704	GO:0006520;GO:0016491;GO:0004353
isogroup10712	GO:0004402
isogroup10713	GO:0005524
isogroup10715	GO:0015220
isogroup10721	GO:0004623;GO:0005509;GO:0016042;GO:0004888;GO:0007596;GO:0016020
isogroup10722	GO:0016020;GO:0030001;GO:0046873;GO:0005385
isogroup10723	GO:0004872
isogroup10725	GO:0004672;GO:0005524;GO:0006468
isogroup10726	GO:0004853;GO:0006779
isogroup10728	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003723;GO:0022627;GO:0042254
isogroup10729	GO:0003700;GO:0005634;GO:0006355;GO:0003677
isogroup1073	GO:0004629;GO:0007165;GO:0007242;GO:0004435;GO:0006629;GO:0005509
isogroup10730	GO:0005515
isogroup10733	GO:0004510
isogroup10734	GO:0005554
isogroup1074	GO:0005524;GO:0008152;GO:0016301;GO:0016310;GO:0005737;GO:0016773;GO:0050201
isogroup10742	GO:0008152;GO:0008484;GO:0003943;GO:0004065
isogroup10744	GO:0005634;GO:0006260;GO:0003887;GO:0003889;GO:0003890;GO:0003891;GO:0003893;GO:0003894;GO:0003895;GO:0015999;GO:0016000;GO:0016448;GO:0016449;GO:0016450;GO:0016451;GO:0016452;GO:0019984
isogroup10745	GO:0006118;GO:0004497;GO:0004499
isogroup10748	GO:0003676
isogroup10751	GO:0016021;GO:0016192
isogroup10754	GO:0004579;GO:0008250
isogroup10759	GO:0001584;GO:0007186;GO:0016021
